Processing Batch 0... RAM: 64.6% (20.6GB) | VRAM: 0.31GB (Max: 0.31GB)
Processing Batch 10... RAM: 66.1% (21.0GB) | VRAM: 0.32GB (Max: 0.83GB)
Processing Batch 20... RAM: 66.2% (21.1GB) | VRAM: 0.32GB (Max: 0.83GB)
Processing Batch 30... RAM: 66.2% (21.1GB) | VRAM: 0.32GB (Max: 0.83GB)
Processing Batch 40... RAM: 66.2% (21.1GB) | VRAM: 0.32GB (Max: 0.83GB)
Processing Batch 50... RAM: 66.2% (21.1GB) | VRAM: 0.32GB (Max: 0.83GB)
Processing Batch 60... RAM: 66.2% (21.1GB) | VRAM: 0.32GB (Max: 0.83GB)
Processing Batch 70... RAM: 66.2% (21.1GB) | VRAM: 0.32GB (Max: 0.83GB)
Processing Batch 80... RAM: 66.2% (21.1GB) | VRAM: 0.32GB (Max: 0.83GB)
Processing Batch 90... RAM: 66.2% (21.1GB) | VRAM: 0.32GB (Max: 0.83GB)
Processing Batch 100... RAM: 66.2% (21.1GB) | VRAM: 0.32GB (Max: 0.83GB)
Processing Batch 110... RAM: 66.3% (21.1GB) | VRAM: 0.32GB (Max: 0.83GB)
Processing Batch 120... RAM: 66.3% (21.1GB) | VRAM: 0.32GB (Max: 0.83GB)
Processing Batch 130... RAM: 66.3% (21.1GB) | VRAM: 0.32GB (Max: 0.83GB)
Processing Batch 140... RAM: 66.3% (21.1GB) | VRAM: 0.32GB (Max: 0.83GB)
Processing Batch 150... RAM: 66.3% (21.1GB) | VRAM: 0.32GB (Max: 0.83GB)
Processing Batch 160... RAM: 66.4% (21.1GB) | VRAM: 0.32GB (Max: 0.83GB)
Processing Batch 170... RAM: 66.5% (21.1GB) | VRAM: 0.32GB (Max: 0.83GB)
Processing Batch 180... RAM: 66.5% (21.1GB) | VRAM: 0.32GB (Max: 0.83GB)
Processing Batch 190... RAM: 66.5% (21.2GB) | VRAM: 0.32GB (Max: 0.83GB)
Processing Batch 200... RAM: 66.5% (21.2GB) | VRAM: 0.32GB (Max: 0.83GB)
Processing Batch 210... RAM: 66.5% (21.2GB) | VRAM: 0.32GB (Max: 0.83GB)
Processing Batch 220... RAM: 66.5% (21.2GB) | VRAM: 0.32GB (Max: 0.83GB)
Processing Batch 230... RAM: 66.5% (21.2GB) | VRAM: 0.32GB (Max: 0.83GB)
Processing Batch 240... RAM: 66.5% (21.2GB) | VRAM: 0.32GB (Max: 0.83GB)
Processing Batch 250... RAM: 66.5% (21.2GB) | VRAM: 0.32GB (Max: 0.83GB)
Processing Batch 260... RAM: 66.5% (21.2GB) | VRAM: 0.32GB (Max: 0.83GB)
Processing Batch 270... RAM: 66.5% (21.2GB) | VRAM: 0.32GB (Max: 0.83GB)
Processing Batch 280... RAM: 66.6% (21.2GB) | VRAM: 0.32GB (Max: 0.83GB)
Processing Batch 290... RAM: 66.6% (21.2GB) | VRAM: 0.32GB (Max: 0.83GB)
Processing Batch 300... RAM: 66.6% (21.2GB) | VRAM: 0.32GB (Max: 0.83GB)
Processing Batch 310... RAM: 66.6% (21.2GB) | VRAM: 0.32GB (Max: 0.83GB)
Processing Batch 320... RAM: 66.6% (21.2GB) | VRAM: 0.32GB (Max: 0.83GB)
Processing Batch 330... RAM: 66.6% (21.2GB) | VRAM: 0.32GB (Max: 0.83GB)
Processing Batch 340... RAM: 66.6% (21.2GB) | VRAM: 0.32GB (Max: 0.83GB)
Processing Batch 350... RAM: 66.6% (21.2GB) | VRAM: 0.32GB (Max: 0.83GB)
Processing Batch 360... RAM: 66.6% (21.2GB) | VRAM: 0.32GB (Max: 0.83GB)
Processing Batch 370... RAM: 66.6% (21.2GB) | VRAM: 0.32GB (Max: 0.83GB)
Processing Batch 380... RAM: 66.6% (21.2GB) | VRAM: 0.32GB (Max: 0.83GB)
Processing Batch 390... RAM: 66.6% (21.2GB) | VRAM: 0.32GB (Max: 0.83GB)
Processing Batch 400... RAM: 66.6% (21.2GB) | VRAM: 0.32GB (Max: 0.83GB)
Processing Batch 410... RAM: 66.6% (21.2GB) | VRAM: 0.32GB (Max: 0.83GB)
Processing Batch 420... RAM: 66.7% (21.2GB) | VRAM: 0.32GB (Max: 0.83GB)
Processing Batch 430... RAM: 66.7% (21.2GB) | VRAM: 0.32GB (Max: 0.83GB)
Processing Batch 440... RAM: 66.7% (21.2GB) | VRAM: 0.32GB (Max: 0.83GB)
